Signature,Block Time,Human Time,Action,From,Token1,Amount1,TokenDecimals1,Token2,Amount2,TokenDecimals2,Value,Platforms,Sources
y6VbVJrJ3xXKTMGiL1XXHUNQ3QmB9c1pKWN6zZsK8otDAAy2oj3FFFVf3qDworiZtUUf2ruwaVtutpw4PHvA9UQ,1745339947,2025-04-22T16:39:07.000Z,TOKEN SWAP,MfDuWeqSHEqTFVYZ7LoexgAK9dxk7cy4DFJWjWMGVWa,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,791099709554,6,So11111111111111111111111111111111111111112,186721892783,9,27131.95,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8
5m4U8HvmCBHtbgme6ZQCsiucKXcDXFJ68mpiMpY65cJJthfxMDchivVYmYGdQ8pBy9HUpvmpF53b5iRBscexDyP1,1745339947,2025-04-22T16:39:07.000Z,AGG TOKEN SWAP,6Bp7kb91GJ2FR7o8SG9ec2eWKpdYvqtkfEvtyLJefKcc,So11111111111111111111111111111111111111112,247875000000,9,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,1039506965316,6,36017.91,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4|675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8|obriQD1zbpyLz95G5n7nJe6a4DPjpFwa5XYPoNm113y|LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo
AG1qkdYtxAtk1EyXExiCnQEnUhhuwFT2C4fGr1jkaiwfAfssbzeNkkodCEhvEUZKpg3TN122hqWSXTxHwEPSsqs,1745336312,2025-04-22T15:38:32.000Z,TOKEN SWAP,4GQeEya6ZTwvXre4Br6ZfDyfe2WQMkcDz2QbkJZazVqS,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,631027428932,6,So11111111111111111111111111111111111111112,157309935385,9,22762.87,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8
HgaG7n249YBThkuhznqcFKQcpE69rjYQpEXNfjbXAVrpv8o3wr3vi3rJ8xo1o74LsxMHEXGzXFuw7E2kAz8CQZ7,1745336312,2025-04-22T15:38:32.000Z,AGG TOKEN SWAP,EcHQGRckdkU62ganbz1SCaWuyaHcPpT2WsgUK21Tw9Rq,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,33000000000,6,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,910571639003,6,33000,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4|SoLFiHG9TfgtdUXUjWAxi3LtvYuFyDLVhBWxdMZxyCe|whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc|675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8|LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo
2Bfk2GEEmxZApn5CPBgKB6pzej3MagYzsYGvxNHhJTmcX1diu85USkuBjeuUEQSqnwitJmDFvmgkpK8MApEiQT95,1745336060,2025-04-22T15:34:20.000Z,AGG TOKEN SWAP,2QPEesQB9J9pDk4xh84DpbdEicao8SzamvjcRHps3zHG,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,14919357378,6,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,416888640440,6,14919.36,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4|SoLFiHG9TfgtdUXUjWAxi3LtvYuFyDLVhBWxdMZxyCe|675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8|whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc|LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo
34JmvHtQ14Fj3Vbv9wYmY3KV245maJ6ngNAL86Q2doxf1Vv1Abw2NrFgcnX2zTjVtiym9cMj4u9qWjhgCtqyjrDc,1745336048,2025-04-22T15:34:08.000Z,AGG TOKEN SWAP,2QPEesQB9J9pDk4xh84DpbdEicao8SzamvjcRHps3zHG,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,14919357378,6,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,419248446149,6,14919.36,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4|SoLFiHG9TfgtdUXUjWAxi3LtvYuFyDLVhBWxdMZxyCe|LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo|675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8
3B8ZsJEn1YuCKQUggKnXDBio5UVYjYnXxi2ovZggjMD8eebHTRoBNkhJaRPvF9dP82TT33Dc6myd7XZbDsZGr43B,1745335719,2025-04-22T15:28:39.000Z,TOKEN SWAP,4GQeEya6ZTwvXre4Br6ZfDyfe2WQMkcDz2QbkJZazVqS,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,589562224085,6,So11111111111111111111111111111111111111112,145112180697,9,21064.09,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8
3dn8NvUDhJ4XUe36ySWbdMvYbwBgMikYfBhdqXtxDgAcPykJwKYs2HaGDBQzE1Trx1FPw1ajqT4JwHrJG8TPWEpZ,1745335719,2025-04-22T15:28:39.000Z,AGG TOKEN SWAP,EcHQGRckdkU62ganbz1SCaWuyaHcPpT2WsgUK21Tw9Rq,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,33775000000,6,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,944684304336,6,33775,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4|SoLFiHG9TfgtdUXUjWAxi3LtvYuFyDLVhBWxdMZxyCe|whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc|675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8|LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo
2ghWF6U2BDNrBpFKrbAVYtuBWtTNK9x1KUDrv7vavnGmmZgQC5DMtGcfzb1doSidYLnQCvL8S6gwVq6LE9WLJxNL,1745326835,2025-04-22T13:00:35.000Z,TOKEN SWAP,4GQeEya6ZTwvXre4Br6ZfDyfe2WQMkcDz2QbkJZazVqS,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,459460145392,6,So11111111111111111111111111111111111111112,108128913104,9,15292.41,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8
MSSiuCgVyw6fnzT5sxmtoCgAtGsyYJoUJn7NJwC4bPKZqnWxkmEw3LzQ9h8cYApiEka5CPmdvVHVjBqc3L4QH5u,1745326835,2025-04-22T13:00:35.000Z,AGG TOKEN SWAP,7ya4aG8PmQ79q2t1X4hLRJmS6nmqkeAaa7maBXSVBiBd,3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,25000000,8,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,664702916022,6,21513.91,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4|SoLFiHG9TfgtdUXUjWAxi3LtvYuFyDLVhBWxdMZxyCe|LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo|675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8
